RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Average_rating(5),Total votes,Link_Gốc
304,Buffet Corner - Estella Place,10.8018550000000,106.7481490000000,"Tầng 3 Estella Place, 88 Song Hành, P. An Phú, Quận 2, TP. HCM",,,,yes,yes,yes,100.000 -300.000,8.6,9.4,9.1,8.9,13,https://www.foody.vn/ho-chi-minh/buffet-corner-estella-place
305,Kitchen Japan - Cantavil Premier,10.8019420000000,106.7467250000000,"Tầng 5 Parkson Cantavil, 1 Song Hành, P. An Phú, Quận 2, TP. HCM",,,,yes,no,yes,50.000 -150.000,7.0,6.8,6.8,6.7,11,https://www.foody.vn/ho-chi-minh/kitchen-japan-parkson-cantavil
306,Lương Gia Quán - Heo Tộc,10.7838850000000,106.7652020000000,"82 Nguyễn Tuyển, P. Bình Trưng Tây, Quận 2, TP. HCM",,,,no,yes,no,50.000 -110.000,7.5,6.9,7.5,7.2,13,https://www.foody.vn/ho-chi-minh/luong-gia-quan-heo-toc
307,GoGi House - Nướng Hàn Quốc - Estella,10.8019900000000,106.7484250000000,"Gian Hàng #L3-10A Estella Place, 88 Song Hành, P. An Phú, Quận 2, TP. HCM",,,,no,no,yes,89.000 -500.000,8.7,8.8,8.9,8.7,17,https://www.foody.vn/ho-chi-minh/gogi-house-nuong-han-quoc-estella
308,Chill Corner,10.8041010000000,106.7440720000000,"32 Đường D10, P. Thảo Điền, Quận 2, TP. HCM",,,,no,no,yes,35.000 -85.000,9.3,9.1,9.7,9.1,13,https://www.foody.vn/ho-chi-minh/chill-corner
309,Hokkaido Baked Cheese Tart - Estella Place,10.8019934000000,106.7482807000000,"Estella Place, L4-29B, 88 Song Hành, P. An Phú, Quận 2, TP. HCM",,,,no,no,yes,29.000 -189.000,8.5,7.4,7.7,7.8,13,https://www.foody.vn/ho-chi-minh/hokkaido-baked-cheese-tart-estella-place
310,Chang Kang Kung - Hấp Thủy Nhiệt Hongkong - Estella Place,10.8014052139297,106.7488145891675,"Tầng 3 Estella Place, 88 Song Hành, P. An Phú, Quận 2, TP. HCM",,,,no,no,yes,30.000 -400.000,7.2,7.1,6.9,7.1,13,https://www.foody.vn/ho-chi-minh/chang-kang-kung-hap-thuy-nhiet-hongkong-estella-place
311,Quán Ăn Ngon Hà Nội - Bún Chả Hà Nội,10.7929300000000,106.7305740000000,"136 Trần Não, P. Bình An, Quận 2, TP. HCM",,,,no,no,no,35.000 -275.000,6.6,6.0,6.5,6.6,14,https://www.foody.vn/ho-chi-minh/quan-an-ngon-ha-noi-bun-cha-ha-noi
312,Quán Ốc Bay,10.8019832000000,106.7382986999999,"1 Thảo Điền, P. Thảo Điền, Quận 2, TP. HCM",,,,no,no,no,20.000 -100.000,7.2,6.8,7.5,7.2,13,https://www.foody.vn/ho-chi-minh/quan-oc-bay
313,Chez Nous Coffee & Waffle Cafe,10.8010530000000,106.7347390000000,"51 Xa lộ Hà Nội, Quận 2, TP. HCM",,,,no,no,yes,20.000 -60.000,9.3,7.4,7.1,7.8,10,https://www.foody.vn/ho-chi-minh/chez-nous-coffee-waffle-cafe
