source,area_code,source_file,district_city,province,num_addresses,top_district_candidates,top_province_candidates
foody,216,D216.csv,Huyện Xuân Lộc,Đồng Nai,24,Huyện Xuân Lộc (24),Đồng Nai (24)
foody,217,D217.csv,Huyện Thống Nhất,Đồng Nai,24,Huyện Thống Nhất (24),Đồng Nai (24)
foody,218,D218.csv,Huyện Định Quán,Đồng Nai,24,Huyện Định Quán (24),Đồng Nai (24)
foody,219,D219.csv,Huyện Tân Phú,Đồng Nai,24,Huyện Tân Phú (24),Đồng Nai (24)
foody,22,D22.csv,Thành Phố Long Xuyên,An Giang,42,Thành Phố Long Xuyên (33) | Thành Phố Châu Đốc (5) | Huyện Châu Thành (1),An Giang (42)
foody,220,D220.csv,Huyện Vĩnh Cửu,Đồng Nai,24,Huyện Vĩnh Cửu (24),Đồng Nai (24)
foody,221,D221.csv,Huyện Cẩm Mỹ,Đồng Nai,26,Huyện Cẩm Mỹ (14) | Thành Phố Biên Hòa (10) | Huyện Vĩnh Cửu (2),Đồng Nai (26)
foody,222,D222.csv,Thành Phố Long Xuyên,An Giang,62,Thành Phố Long Xuyên (62),An Giang (62)
foody,223,D223.csv,Thành Phố Châu Đốc,An Giang,24,Thành Phố Châu Đốc (24),An Giang (24)
foody,224,D224.csv,Thị Xã Tân Châu,An Giang,24,Thị Xã Tân Châu (24),An Giang (24)
foody,225,D225.csv,Huyện Chợ Mới,An Giang,24,Huyện Chợ Mới (24),An Giang (24)
foody,226,D226.csv,Huyện Thoại Sơn,An Giang,23,Huyện Thoại Sơn (23),An Giang (23)
foody,227,D227.csv,Huyện Tri Tôn,An Giang,24,Huyện Tri Tôn (24),An Giang (24)
foody,228,D228.csv,Huyện Châu Thành,An Giang,23,Huyện Châu Thành (23),An Giang (23)
foody,229,D229.csv,Huyện Tịnh Biên,An Giang,24,Huyện Tịnh Biên (24),An Giang (24)
foody,230,D230.csv,Huyện Châu Phú,An Giang,21,Huyện Châu Phú (21),An Giang (21)
foody,231,D231.csv,Huyện Phú Tân,An Giang,14,Huyện Phú Tân (14),An Giang (14)
foody,232,D232.csv,Huyện An Phú,An Giang,12,Huyện An Phú (12),An Giang (12)
foody,24,D24.csv,Thành Phố Biên Hòa,Đồng Nai,88,Thành Phố Biên Hòa (78) | Thị Xã Long Khánh (3) | Huyện Long Thành (2),Đồng Nai (88)
foody,26,D26.csv,Thành Phố Biên Hòa,Đồng Nai,82,Thành Phố Biên Hòa (75) | Thị Xã Long Khánh (4) | Huyện Nhơn Trạch (2),Đồng Nai (82)
foody,32,D32.csv,Thành Phố Biên Hòa,Đồng Nai,117,Thành Phố Biên Hòa (114) | Huyện Trảng Bom (1) | Huyện Long Thành (1),Đồng Nai (117)
foody,38,D38.csv,Thị Xã Thuận An,Bình Dương,94,Thị Xã Thuận An (31) | Thành Phố Thủ Dầu Một (29) | Thị Xã Dĩ An (28),Bình Dương (94)
foody,46,D46.csv,Tp. Vũng Tàu,Vũng Tàu,30,Tp. Vũng Tàu (26) | Tp. Bà Rịa (3) | Huyện Xuyên Mộc (1),Vũng Tàu (30)
foody,48,D48.csv,Tp. Vũng Tàu,Vũng Tàu,83,Tp. Vũng Tàu (76) | Tp. Bà Rịa (6) | Thị Xã Phú Mỹ (1),Vũng Tàu (83)
foody,49,D49.csv,Tp. Vũng Tàu,Vũng Tàu,88,Tp. Vũng Tàu (70) | Thị Xã Phú Mỹ (8) | Tp. Bà Rịa (6),Vũng Tàu (88)
foody,64,D64.csv,Quận Ninh Kiều,Cần Thơ,75,Quận Ninh Kiều (58) | Quận Cái Răng (9) | Quận Bình Thủy (6),Cần Thơ (75)
foody,69,D69.csv,Thành Phố Thủ Dầu Một,Bình Dương,77,Thành Phố Thủ Dầu Một (32) | Thị Xã Thuận An (20) | Thị Xã Dĩ An (15),Bình Dương (77)
foody,73,D73.csv,Tp. Vũng Tàu,Vũng Tàu,78,Tp. Vũng Tàu (72) | Tp. Bà Rịa (4) | Thị Xã Phú Mỹ (2),Vũng Tàu (78)
